AMT_INCOME_TOTAL,DAYS_EMPLOYED,NAME_INCOME_TYPE,CNT_CHILDREN,FLAG_OWN_CAR,FLAG_OWN_REALTY,TARGET
231932,-5110,Working,1,N,Y,1
187498,-8395,Working,0,Y,N,1
62955,0,Student,0,Y,Y,1
458795,-8760,Commercial associate,0,N,Y,0
59150,0,Student,2,N,Y,1
289931,365243,Pensioner,2,N,Y,1
254555,-2190,Working,1,N,Y,1
300551,-1095,Working,0,N,Y,0
302283,-12045,Working,0,N,N,1
357750,-14235,Working,2,N,Y,0
317851,-10220,Working,2,Y,N,0
233767,-8395,Working,0,Y,N,1
450804,-13870,State servant,1,N,N,0
451279,-8030,Working,1,N,Y,0
251664,365243,Pensioner,0,N,N,1
473133,-13870,Working,0,N,Y,0
345310,-11315,Working,1,N,Y,0
302982,-5110,Working,1,Y,Y,0
615515,-365,Commercial associate,1,Y,Y,0
250235,365243,Pensioner,2,N,N,1
487261,-11680,Working,0,N,Y,0
286902,365243,Pensioner,1,N,Y,1
265838,-11315,Working,1,N,Y,1
314283,-13870,Working,0,N,Y,0
325281,-365,Working,0,Y,Y,1
318164,-9125,Working,3,Y,N,1
387486,-13505,Working,0,N,N,1
72671,365243,Pensioner,0,N,N,1
518394,-12775,Commercial associate,0,N,Y,0
184896,-14235,Working,0,N,Y,1
524705,-8030,State servant,1,N,Y,0
157512,365243,Pensioner,3,N,Y,1
369544,-12410,Working,1,N,N,1
424327,-3650,State servant,2,N,N,0
233629,-8760,Working,1,Y,Y,1
357186,-5475,Working,3,Y,Y,0
235059,-2555,Working,2,N,Y,1
638741,-7665,Commercial associate,0,N,Y,0
80746,365243,Pensioner,0,N,N,1
271836,-6570,Working,1,N,Y,1
93484,365243,Pensioner,0,Y,N,1
315294,-12410,Commercial associate,3,Y,Y,0
316386,-6205,Working,1,N,N,1
342289,-11315,Working,1,N,Y,1
247392,365243,Pensioner,1,N,Y,1
335362,-8760,Working,1,Y,Y,1
414512,-2555,State servant,1,N,N,0
132097,-365,Working,0,N,Y,1
905660,-7665,Commercial associate,1,Y,Y,0
213632,-2555,Working,1,Y,N,1
239407,365243,Pensioner,1,N,N,1
83613,0,Student,1,Y,Y,1
132217,-8030,Working,0,N,Y,1
277247,-8760,Working,1,Y,N,1
741252,-7665,Commercial associate,1,Y,Y,0
505612,-4745,State servant,0,Y,Y,0
376507,-5475,State servant,0,N,Y,0
388790,-3285,Working,2,N,Y,1
471967,0,Commercial associate,1,N,N,1
818992,-9855,Commercial associate,1,N,Y,0
553824,-11680,Commercial associate,2,N,N,1
69449,0,Student,0,Y,Y,1
751638,-5840,Commercial associate,1,N,N,0
288184,365243,Pensioner,0,N,N,1
160692,-12775,Working,0,N,N,1
167955,-6205,State servant,0,N,N,1
251222,-4380,Working,1,Y,Y,1
378031,-8760,Commercial associate,0,N,Y,0
24466,0,Student,0,N,N,1
205486,-5475,Commercial associate,0,Y,Y,0
218324,-8030,Working,1,Y,N,1
488318,-1460,Working,1,N,N,1
254697,-5840,Working,0,Y,N,1
319930,-365,Working,0,Y,N,1
264357,365243,Pensioner,2,N,N,1
577794,-13870,State servant,0,N,Y,0
317841,-9855,Working,1,N,N,1
189298,-4380,State servant,0,N,Y,0
153333,365243,Pensioner,2,N,Y,1
274117,365243,Pensioner,3,Y,Y,1
433870,-4745,Working,0,N,N,1
205576,365243,Pensioner,0,N,N,1
481300,-2555,Working,0,N,Y,0
620571,-13140,Commercial associate,3,N,N,0
417428,-6935,Working,1,Y,Y,1
186785,365243,Pensioner,1,N,N,1
368964,-11680,Commercial associate,1,N,N,1
335230,-8760,Commercial associate,3,N,N,1
370846,0,Working,0,Y,N,1
80642,0,Student,1,N,N,1
483432,0,Working,3,N,Y,1
242193,-9855,State servant,0,Y,Y,0
244074,-4015,State servant,2,N,Y,0
381342,-8030,Working,1,N,N,1
115215,365243,Pensioner,0,N,Y,1
437889,-13505,Working,0,N,Y,1
297940,365243,Pensioner,0,N,Y,1
464612,-12045,Working,1,N,Y,1
347666,-8030,Working,0,Y,Y,0
487971,-8760,Working,2,N,N,1
617170,-7300,Commercial associate,0,Y,Y,0
566824,-4015,Commercial associate,0,N,Y,0
123321,-7665,Working,0,N,N,1
164291,0,Working,0,N,N,1
211317,-4745,Working,1,N,Y,1
246106,-2190,Working,1,N,N,1
205977,-13505,Working,1,Y,Y,1
101062,-5840,Working,0,N,Y,1
499384,-1095,Working,0,N,Y,1
935265,-2555,Commercial associate,1,N,Y,1
285625,-12045,Working,0,N,Y,1
216421,-1825,Working,0,Y,Y,1
266727,365243,Pensioner,0,N,Y,1
16389,0,Student,1,N,Y,1
375378,-365,Working,1,N,Y,1
404245,-1095,Working,0,N,Y,1
490621,-13505,State servant,1,Y,Y,0
585925,-3285,Commercial associate,1,N,Y,0
58512,365243,Pensioner,0,Y,Y,1
142078,-1460,Working,2,N,Y,1
65441,0,Student,0,N,N,1
58007,365243,Pensioner,1,Y,Y,1
255002,-4745,Working,1,N,N,1
390279,-13870,Commercial associate,1,N,N,1
299646,-11680,State servant,0,N,Y,1
192263,-13870,Working,0,N,N,1
543054,-10220,Commercial associate,0,N,Y,0
428800,-13140,Working,1,Y,Y,1
393322,-3285,State servant,0,N,Y,0
426579,-5110,Working,1,Y,Y,0
297550,-12775,State servant,1,Y,Y,1
76325,0,Student,0,N,N,1
123319,365243,Pensioner,1,Y,N,1
311951,-1095,Working,1,Y,N,1
309945,-2920,Commercial associate,0,N,N,0
84560,365243,Pensioner,3,N,Y,1
284245,-14235,Working,1,N,N,1
283588,365243,Pensioner,0,N,Y,1
58070,365243,Pensioner,0,N,Y,1
346965,-8395,Working,1,Y,Y,1
194270,-7665,Working,0,Y,Y,1
49840,0,Student,0,Y,N,1
101759,-4380,Working,0,N,N,1
159676,-10220,Working,0,N,Y,1
407009,-365,State servant,1,N,Y,1
286240,-2555,Working,2,N,Y,1
170993,365243,Pensioner,0,Y,N,1
473048,-730,Working,0,N,Y,1
434402,-11680,Working,1,N,N,1
525597,-5475,State servant,0,N,Y,0
56150,365243,Pensioner,0,Y,Y,1
231532,365243,Pensioner,2,N,Y,1
144914,365243,Pensioner,0,N,Y,1
238155,-12410,Working,2,N,Y,1
267642,-8030,Commercial associate,1,N,Y,1
387804,-8760,State servant,0,Y,N,0
356028,-12045,Working,0,Y,N,0
238456,365243,Pensioner,0,N,Y,1
140809,-7665,Working,0,N,N,1
277900,-2190,Working,1,N,Y,1
590719,-365,Commercial associate,0,N,Y,1
203276,-7300,State servant,2,N,N,1
478165,-12045,Working,0,N,Y,0
337091,-6935,Working,0,N,N,0
266017,-2920,Commercial associate,1,Y,Y,1
493276,-14235,Working,0,Y,N,1
306258,-10585,Working,0,Y,Y,0
216844,365243,Pensioner,3,N,Y,1
338,0,Student,1,N,N,1
196968,365243,Pensioner,0,Y,N,1
237641,-5475,Commercial associate,2,Y,Y,0
268270,-2190,Working,0,N,N,1
448206,-10585,State servant,0,N,Y,0
437054,-8395,Working,0,Y,Y,0
690457,-8030,Commercial associate,0,N,Y,0
469708,-6205,Commercial associate,1,N,N,1
225341,-4380,Working,1,N,N,1
407228,-10220,Working,0,N,Y,0
50072,0,Student,1,N,Y,1
132413,-1095,Working,1,N,Y,1
35400,0,Student,0,N,Y,1
457172,-1825,State servant,3,N,N,0
379352,-2190,Commercial associate,3,Y,N,0
502186,-12045,Commercial associate,0,Y,N,0
173781,-8030,Working,2,N,N,1
356689,-6205,Working,1,Y,N,1
495804,-8760,Commercial associate,1,N,Y,0
143642,-9855,Working,0,Y,N,1
177015,365243,Pensioner,1,Y,Y,1
252826,-1460,Working,0,N,N,1
286988,-5840,Commercial associate,0,N,Y,0
182663,365243,Pensioner,1,N,Y,1
219623,-9855,Commercial associate,2,N,N,1
257364,-12775,Working,1,N,Y,1
68344,0,Student,2,Y,Y,1
142241,365243,Pensioner,1,N,Y,1
175418,-5840,Working,0,N,Y,1
352053,-6570,State servant,1,N,N,0
815645,-13140,Commercial associate,0,N,N,0
293903,365243,Pensioner,1,N,Y,1
576826,-6205,Commercial associate,2,N,N,1
876787,-4015,Commercial associate,0,Y,Y,0
77082,365243,Pensioner,0,Y,N,1
459912,-13870,Working,1,N,Y,1
464451,-7665,State servant,0,N,N,0
153268,-5475,Working,2,N,N,1
7424,0,Student,0,Y,Y,1
176385,-5110,State servant,0,N,Y,0
249988,365243,Pensioner,1,N,N,1
582043,-8395,State servant,2,N,N,0
360550,-5840,Working,1,Y,Y,0
229749,-365,Working,1,N,Y,1
257661,-6205,Working,0,N,Y,1
201195,-13505,State servant,2,N,N,1
487960,-11315,Working,0,N,Y,1
222431,-11680,Commercial associate,1,Y,Y,1
106985,365243,Pensioner,0,N,Y,1
118577,365243,Pensioner,1,N,Y,1
849438,-11315,Commercial associate,0,N,N,0
194701,365243,Pensioner,1,N,Y,1
198818,-4745,Working,0,Y,Y,1
183186,-6570,Working,3,N,Y,1
454591,-6205,Working,0,N,Y,0
60315,0,Student,0,Y,Y,1
474484,-10950,Working,0,N,N,0
461403,-8395,Working,1,N,Y,0
565231,-12775,State servant,2,N,Y,0
45241,0,Student,0,N,N,1
119975,-12775,Working,2,Y,Y,1
788612,-13505,Commercial associate,0,Y,N,0
497190,-8760,Commercial associate,1,Y,N,0
67649,0,Student,1,N,N,1
483894,-10950,Working,0,Y,Y,0
438763,-10585,Working,0,N,Y,0
363567,-6935,State servant,0,N,Y,0
332944,-9855,Working,2,N,Y,0
443681,-2920,Working,1,N,Y,1
438404,-1460,Working,0,N,N,1
1239,0,Student,0,N,Y,1
530929,-8030,Commercial associate,1,Y,Y,0
101969,-2555,Working,3,Y,N,1
160677,365243,Pensioner,1,N,Y,1
312112,-9125,Working,2,N,Y,1
573875,-11680,State servant,1,N,N,0
834457,-9855,Commercial associate,0,N,Y,0
211279,-4380,Working,1,N,N,1
432549,-1095,Commercial associate,1,N,N,1
117772,-3650,Working,0,Y,N,1
127723,-2190,Working,1,N,Y,1
455824,-12410,Working,0,Y,N,0
487681,-2920,Commercial associate,0,N,Y,1
245804,365243,Pensioner,0,Y,Y,1
535914,-8030,Commercial associate,2,N,N,0
114106,365243,Pensioner,1,N,Y,1
145379,-7300,Working,0,Y,Y,1
455891,-9490,Working,2,N,Y,1
570321,-365,Commercial associate,0,N,Y,1
275211,-3285,Working,1,Y,Y,1
319735,-12775,Commercial associate,0,Y,N,0
188204,-7665,Working,2,N,Y,1
800441,-2555,Commercial associate,1,N,Y,1
238299,-13870,Working,1,Y,N,1
227556,-12410,Working,2,N,Y,1
116014,-12410,Working,1,N,Y,1
651000,-8760,Commercial associate,3,Y,N,0
394054,-3650,Working,3,Y,Y,0
131007,-13870,Working,1,Y,N,1
131367,-11680,Working,0,N,Y,1
251659,365243,Pensioner,0,N,Y,1
699499,-730,Commercial associate,0,Y,Y,1
980641,-8030,Commercial associate,0,Y,Y,0
48604,0,Student,1,Y,Y,1
356911,-4015,Working,0,N,N,1
435126,-9855,Working,3,Y,N,0
937565,-7300,Commercial associate,0,Y,N,0
210699,-13505,Commercial associate,0,Y,Y,0
224481,-7300,Working,0,Y,Y,1
353334,-9125,Working,1,N,N,1
926331,-13140,Commercial associate,0,N,Y,0
84594,365243,Pensioner,2,N,N,1
140461,-2920,Working,0,Y,Y,1
204211,-6205,Working,1,N,Y,1
304894,-4745,Working,0,N,N,1
223429,-8760,Commercial associate,1,Y,Y,1
140108,-4015,Working,3,N,Y,1
233260,365243,Pensioner,0,Y,N,1
402066,-1460,Working,1,N,Y,1
532007,-5110,State servant,3,Y,Y,0
178141,-2190,State servant,1,Y,Y,1
299900,-12775,Working,1,N,Y,1
199071,-12410,Working,0,N,N,1
431396,-365,Working,0,N,N,1
256297,-13870,State servant,1,N,N,1
47076,0,Student,0,Y,Y,1
79300,365243,Pensioner,0,N,Y,1
245128,-10220,Working,0,N,N,1
263856,-2920,Working,2,N,Y,1
201353,365243,Pensioner,0,N,N,1
254544,-5110,Working,2,N,N,1
213936,-8030,State servant,1,Y,Y,1
752370,-8395,Commercial associate,0,Y,Y,0
215053,-12775,Working,0,N,N,1
192601,-1460,Working,1,N,Y,1
178815,-9855,Working,2,N,Y,1
322146,-12775,Working,1,N,N,1
369054,-3285,Working,1,Y,N,0
139071,-10950,Working,1,N,Y,1
189489,-2920,Working,0,N,Y,1
495677,-6935,Working,0,Y,N,0
30841,0,Student,0,N,Y,1
259116,-7300,Working,3,N,Y,1
984586,-7665,Commercial associate,1,Y,Y,0
164028,-7300,Working,1,N,Y,1
157804,-7665,Working,1,N,Y,1
906972,-10585,Commercial associate,2,N,N,0
353113,-5475,Working,2,N,N,1
121727,-12045,Working,0,N,N,1
801153,-4380,Commercial associate,1,N,N,0
126832,-4745,Working,0,N,Y,1
370894,-1825,State servant,2,N,Y,0
742601,-8395,Commercial associate,0,Y,N,0
390868,-3285,Commercial associate,1,N,N,0
168099,-10220,Working,1,Y,Y,1
448871,-8395,State servant,1,N,Y,0
168926,-6570,Working,0,N,N,1
346627,-6570,Working,0,Y,Y,0
461278,-9855,Working,1,N,N,1
396195,-6935,Working,1,Y,Y,0
557688,-9125,State servant,1,Y,Y,0
343306,-10585,Working,2,Y,Y,0
233369,-12410,State servant,0,N,N,1
344809,-1460,Working,1,N,Y,1
456992,-8395,Working,1,N,Y,0
238808,-10950,Working,2,N,Y,1
454717,-7665,Working,0,Y,N,0
93583,0,Student,0,N,Y,1
276922,365243,Pensioner,1,N,Y,1
328870,-1825,Working,2,Y,N,1
338511,-2190,Working,0,N,N,1
561961,-7300,State servant,0,N,Y,0
450040,-7300,Working,1,N,Y,0
241006,-2190,State servant,1,N,N,1
204553,365243,Pensioner,1,N,Y,1
229017,365243,Pensioner,0,N,Y,1
196111,-13870,Working,1,Y,Y,0
248066,-11315,Working,0,Y,Y,1
155774,-14235,State servant,2,N,N,1
56823,365243,Pensioner,1,Y,Y,1
453323,-11680,Working,0,N,Y,0
260097,365243,Pensioner,0,Y,Y,1
133243,-12775,Working,0,N,N,1
87991,365243,Pensioner,0,N,N,1
473260,-730,Commercial associate,2,Y,Y,0
189087,-2555,Working,2,N,Y,1
598877,-6570,State servant,2,N,Y,0
31852,0,Student,1,N,N,1
108438,-9490,Working,1,Y,Y,1
269780,365243,Pensioner,0,N,N,1
361691,-3650,Working,2,N,Y,0
109346,-4015,Working,0,Y,N,1
457792,-7300,Working,0,N,N,1
255400,-8030,State servant,1,N,N,1
82602,365243,Pensioner,0,N,Y,1
462299,-13870,Commercial associate,0,N,N,0
356190,-730,Working,1,N,Y,1
472013,-4745,Working,2,Y,N,0
341521,-11680,Commercial associate,2,Y,Y,0
233669,-4745,Working,2,N,Y,1
72010,365243,Pensioner,0,N,Y,1
380495,-6570,Working,3,N,N,0
279526,-4745,Working,1,N,N,1
780595,-4745,Commercial associate,0,Y,Y,0
421855,-11680,Working,0,N,Y,1
192493,-10585,Working,1,Y,N,1
517013,-5475,Commercial associate,0,N,Y,0
458142,-7300,Working,0,N,Y,1
550584,-2920,State servant,1,N,N,1
132174,-14235,Working,0,N,N,1
227795,-10220,Working,0,N,Y,1
178803,-2190,State servant,0,Y,N,1
593409,-8395,Commercial associate,1,N,Y,0
102261,-8760,Working,0,Y,N,1
447515,0,Working,0,N,N,1
911404,-6935,Commercial associate,0,N,Y,0
379687,-6935,Working,0,N,N,1
393481,-2920,Working,2,Y,N,1
476742,-13870,Working,0,N,N,1
233852,365243,Pensioner,0,N,N,1
353196,-11680,State servant,2,N,N,1
173053,365243,Pensioner,1,N,Y,1
